Training started at 2026-05-02 20:01:07.728807
Dataset   : D:\Computer Vision Project\data\Character dataset
Epochs    : 100
Batch size: 30
Num classes: 30
------------------------------------------------------------
Epoch  77/100 | loss: 0.0501 | acc: 0.9810 | val_loss: 0.0699 | val_acc: 0.9822
Epoch  78/100 | loss: 0.1059 | acc: 0.9333 | val_loss: 0.0628 | val_acc: 0.9867
Epoch  79/100 | loss: 0.0566 | acc: 0.9825 | val_loss: 0.0545 | val_acc: 0.9889
Epoch  80/100 | loss: 0.0117 | acc: 1.0000 | val_loss: 0.0510 | val_acc: 0.9844
Epoch  81/100 | loss: 0.0570 | acc: 0.9830 | val_loss: 0.0232 | val_acc: 0.9889
Epoch  82/100 | loss: 0.0032 | acc: 1.0000 | val_loss: 0.1166 | val_acc: 0.9822
Epoch  83/100 | loss: 0.0670 | acc: 0.9825 | val_loss: 0.1080 | val_acc: 0.9756
Epoch  84/100 | loss: 0.0337 | acc: 0.9667 | val_loss: 0.0386 | val_acc: 0.9933
Epoch  85/100 | loss: 0.0639 | acc: 0.9835 | val_loss: 0.0623 | val_acc: 0.9844
Epoch  86/100 | loss: 0.0051 | acc: 1.0000 | val_loss: 0.0744 | val_acc: 0.9822
Epoch  87/100 | loss: 0.0337 | acc: 0.9887 | val_loss: 0.0885 | val_acc: 0.9800
Epoch  88/100 | loss: 0.2591 | acc: 0.9667 | val_loss: 0.0770 | val_acc: 0.9822
Epoch  89/100 | loss: 0.0631 | acc: 0.9841 | val_loss: 0.1904 | val_acc: 0.9689
Epoch  90/100 | loss: 0.0216 | acc: 1.0000 | val_loss: 0.1433 | val_acc: 0.9644
Epoch  91/100 | loss: 0.0314 | acc: 0.9877 | val_loss: 0.1840 | val_acc: 0.9778
Epoch  92/100 | loss: 0.0066 | acc: 1.0000 | val_loss: 0.1412 | val_acc: 0.9689
Epoch  93/100 | loss: 0.0366 | acc: 0.9882 | val_loss: 0.0776 | val_acc: 0.9822
Epoch  94/100 | loss: 0.2686 | acc: 0.9667 | val_loss: 0.1373 | val_acc: 0.9733
Epoch  95/100 | loss: 0.0572 | acc: 0.9825 | val_loss: 0.1347 | val_acc: 0.9733
Epoch  96/100 | loss: 0.0053 | acc: 1.0000 | val_loss: 0.0665 | val_acc: 0.9867
Epoch  97/100 | loss: 0.0427 | acc: 0.9856 | val_loss: 0.1672 | val_acc: 0.9689
Epoch  98/100 | loss: 0.0004 | acc: 1.0000 | val_loss: 0.1105 | val_acc: 0.9756
Epoch  99/100 | loss: 0.0766 | acc: 0.9810 | val_loss: 0.1223 | val_acc: 0.9689
Epoch 100/100 | loss: 0.0175 | acc: 1.0000 | val_loss: 0.1088 | val_acc: 0.9778
------------------------------------------------------------
Training finished at 2026-05-02 20:03:01.346154
